site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
AxeLake,2,7859,Mini,20230609,07,96,99,Vireo gilvus,Warbling Vireo,0.5333,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230609_073000.wav
AxeLake,2,7859,Mini,20230610,04,174,177,Chordeiles minor,Common Nighthawk,0.7477,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230610_041500.wav
AxeLake,2,7859,Mini,20230610,04,177,180,Chordeiles minor,Common Nighthawk,0.8849,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230610_041500.wav
AxeLake,2,7859,Mini,20230610,04,213,216,Chordeiles minor,Common Nighthawk,0.5959,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230610_041500.wav
AxeLake,2,7859,Mini,20230611,05,39,42,Vireo gilvus,Warbling Vireo,0.6659,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,60,63,Vireo gilvus,Warbling Vireo,0.5905,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,63,66,Vireo gilvus,Warbling Vireo,0.6303,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,66,69,Vireo gilvus,Warbling Vireo,0.5795,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,105,108,Vireo gilvus,Warbling Vireo,0.6106,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,117,120,Vireo gilvus,Warbling Vireo,0.8891,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,165,168,Vireo gilvus,Warbling Vireo,0.7379,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,177,180,Vireo gilvus,Warbling Vireo,0.8711,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,198,201,Vireo gilvus,Warbling Vireo,0.5078,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,210,213,Vireo gilvus,Warbling Vireo,0.683,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,216,219,Vireo gilvus,Warbling Vireo,0.7786,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,228,231,Vireo gilvus,Warbling Vireo,0.8089,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,246,249,Vireo gilvus,Warbling Vireo,0.7578,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,252,255,Vireo gilvus,Warbling Vireo,0.6435,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,267,270,Vireo gilvus,Warbling Vireo,0.7636,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,273,276,Vireo gilvus,Warbling Vireo,0.5486,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,05,285,288,Vireo gilvus,Warbling Vireo,0.632,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_054500.wav
AxeLake,2,7859,Mini,20230611,06,0,3,Vireo gilvus,Warbling Vireo,0.7267,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_063000.wav
AxeLake,2,7859,Mini,20230611,06,3,6,Vireo gilvus,Warbling Vireo,0.6912,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_063000.wav
AxeLake,2,7859,Mini,20230611,06,24,27,Vireo gilvus,Warbling Vireo,0.5238,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230611_063000.wav
AxeLake,2,7859,Mini,20230612,03,222,225,Chordeiles minor,Common Nighthawk,0.82,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230612_031500.wav
AxeLake,2,7859,Mini,20230612,03,231,234,Chordeiles minor,Common Nighthawk,0.8554,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230612_031500.wav
AxeLake,2,7859,Mini,20230612,08,102,105,Vireo gilvus,Warbling Vireo,0.5469,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230612_084500.wav
AxeLake,2,7859,Mini,20230612,08,108,111,Vireo gilvus,Warbling Vireo,0.5985,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230612_084500.wav
AxeLake,2,7859,Mini,20230612,08,120,123,Vireo gilvus,Warbling Vireo,0.7354,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230612_084500.wav
AxeLake,2,7859,Mini,20230612,08,156,159,Vireo gilvus,Warbling Vireo,0.6995,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230612_084500.wav
AxeLake,2,7859,Mini,20230612,09,48,51,Vireo gilvus,Warbling Vireo,0.6507,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230612_090000.wav
AxeLake,2,7859,Mini,20230612,09,90,93,Vireo gilvus,Warbling Vireo,0.6109,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230612_090000.wav
